# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DirectByteBufferAllocator.reclaimed,1689331587594000000,1689331647601000000,13
FilePageCache.totalPageDisposalsUs,1689331587594000000,1689331647601000000,4939
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1689331587594000000,1689331647601000000,0
StorageLockContext.competingThreads.max,1689331587594000000,1689331647601000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1689331587594000000,1689331647601000000,0
DirectByteBufferAllocator.misses,1689331587594000000,1689331647601000000,742
FilePageCache.totalPageLoadsUs,1689331587594000000,1689331647601000000,9962524
DirectByteBufferAllocator.disposed,1689331587594000000,1689331647601000000,0
FilePageCache.uncachedFileAccess,1689331587594000000,1689331647601000000,47
StorageLockContext.competingThreads.avg,1689331587594000000,1689331647601000000,0.05172413793103448
FilePageCache.maxCacheSizeInBytes,1689331587594000000,1689331647601000000,325607424
FilePageCache.disposedBuffers,1689331587594000000,1689331647601000000,13
NonBlockingReadAction.finalizedExecutionTimeUs,1689331587594000000,1689331647601000000,5289901
FlushQueue.executionTimeAvgNs,1689331587594000000,1689331647601000000,4844084.527366609
AWTEventQueue.dispatchTimeAvgNs,1689331587594000000,1689331647601000000,7810712.641409691
FlushQueue.executionTime90PNs,1689331587594000000,1689331647601000000,1081343
AWTEventQueue.dispatchTime90PNs,1689331587594000000,1689331647601000000,6979583
FlushQueue.queueSizeMax,1689331587594000000,1689331647601000000,225
FlushQueue.queueSizeAvg,1689331587594000000,1689331647601000000,21.454388984509468
FlushQueue.tasksExecuted,1689331587594000000,1689331647601000000,2905
FlushQueue.waitingTime90PNs,1689331587594000000,1689331647601000000,2533359615
NonBlockingReadAction.finalizedExecutionsCount,1689331587594000000,1689331647601000000,23
FlushQueue.waitingTimeMaxNs,1689331587594000000,1689331647601000000,31675383807
AWTEventQueue.eventsDispatched,1689331587594000000,1689331647601000000,4540
FlushQueue.waitingTimeAvgNs,1689331587594000000,1689331647601000000,8.021732965893288E8
NonBlockingReadAction.failedExecutionsCount,1689331587594000000,1689331647601000000,6
NonBlockingReadAction.failedExecutionTimeUs,1689331587594000000,1689331647601000000,2436049
FlushQueue.queueSize90P,1689331587594000000,1689331647601000000,98
AWTEventQueue.dispatchTimeMaxNs,1689331587594000000,1689331647601000000,5872025599
FlushQueue.executionTimeMaxNs,1689331587594000000,1689331647601000000,2566914047
FileNameCache.queries,1689331587594000000,1689331647601000000,1968054
FileNameCache.totalMisses,1689331587594000000,1689331647601000000,56328
FileNameCache.fastMisses,1689331587594000000,1689331647601000000,96565
DirectByteBufferAllocator.hits,1689331647601000000,1689331707593000000,0
FilePageCache.capacityInBytes,1689331647601000000,1689331707593000000,524288000
FilePageCache.pageLoads,1689331647601000000,1689331707593000000,72
StorageLockContext.competingThreads.90P,1689331647601000000,1689331707593000000,0
FilePageCache.pageHits,1689331647601000000,1689331707593000000,2105
FilePageCache.pageFastCacheHits,1689331647601000000,1689331707593000000,305808
FilePageCache.maxRegisteredFiles,1689331647601000000,1689331707593000000,708
DirectByteBufferAllocator.reclaimed,1689331647601000000,1689331707593000000,0
FilePageCache.totalPageDisposalsUs,1689331647601000000,1689331707593000000,70
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1689331647601000000,1689331707593000000,0
StorageLockContext.competingThreads.max,1689331647601000000,1689331707593000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1689331647601000000,1689331707593000000,0
DirectByteBufferAllocator.misses,1689331647601000000,1689331707593000000,72
