# OpenTelemetry Metrics report: .gz, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See BasicCsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.totalPageDisposalsUs,1688833420226000000,1688833480279000000,16903
FilePageCache.maxRegisteredFiles,1688833420226000000,1688833480279000000,617
DirectByteBufferAllocator.hits,1688833420226000000,1688833480279000000,3
FilePageCache.totalPageLoadsUs,1688833420226000000,1688833480279000000,2122513
StorageLockContext.competingThreads.90P,1688833420226000000,1688833480279000000,0
FilePageCache.pageHits,1688833420226000000,1688833480279000000,129
DirectByteBufferAllocator.misses,1688833420226000000,1688833480279000000,302
FilePageCache.disposedBuffers,1688833420226000000,1688833480279000000,3
StorageLockContext.competingThreads.max,1688833420226000000,1688833480279000000,2
StorageLockContext.competingThreads.avg,1688833420226000000,1688833480279000000,0.0425531914893617
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1688833420226000000,1688833480279000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1688833420226000000,1688833480279000000,0
FilePageCache.pageLoads,1688833420226000000,1688833480279000000,305
DirectByteBufferAllocator.disposed,1688833420226000000,1688833480279000000,0
FilePageCache.pageFastCacheHits,1688833420226000000,1688833480279000000,23054
FilePageCache.uncachedFileAccess,1688833420226000000,1688833480279000000,141
FilePageCache.capacityInBytes,1688833420226000000,1688833480279000000,524288000
DirectByteBufferAllocator.reclaimed,1688833420226000000,1688833480279000000,3
FilePageCache.maxCacheSizeInBytes,1688833420226000000,1688833480279000000,269926400
FileNameCache.queries,1688833420226000000,1688833480279000000,18079
FileNameCache.fastMisses,1688833420226000000,1688833480279000000,776
FileNameCache.totalMisses,1688833420226000000,1688833480279000000,527
FlushQueue.queueSizeAvg,1688833420226000000,1688833480279000000,29.703703703703702
NonBlockingReadAction.finalizedExecutionTimeUs,1688833420226000000,1688833480279000000,4907255
NonBlockingReadAction.failedExecutionsCount,1688833420226000000,1688833480279000000,1
AWTEventQueue.eventsDispatched,1688833420226000000,1688833480279000000,424
FlushQueue.queueSize90P,1688833420226000000,1688833480279000000,63
FlushQueue.executionTime90PNs,1688833420226000000,1688833480279000000,11730943
FlushQueue.waitingTime90PNs,1688833420226000000,1688833480279000000,1635778559
FlushQueue.queueSizeMax,1688833420226000000,1688833480279000000,86
FlushQueue.tasksExecuted,1688833420226000000,1688833480279000000,540
FlushQueue.waitingTimeMaxNs,1688833420226000000,1688833480279000000,4328521727
AWTEventQueue.dispatchTimeAvgNs,1688833420226000000,1688833480279000000,1.023974315471698E8
NonBlockingReadAction.finalizedExecutionsCount,1688833420226000000,1688833480279000000,17
FlushQueue.executionTimeAvgNs,1688833420226000000,1688833480279000000,2.6245795955555554E7
AWTEventQueue.dispatchTimeMaxNs,1688833420226000000,1688833480279000000,24964497407
AWTEventQueue.dispatchTime90PNs,1688833420226000000,1688833480279000000,74973183
FlushQueue.executionTimeMaxNs,1688833420226000000,1688833480279000000,5234491391
NonBlockingReadAction.failedExecutionTimeUs,1688833420226000000,1688833480279000000,2858591
FlushQueue.waitingTimeAvgNs,1688833420226000000,1688833480279000000,7.33448301037037E8
FilePageCache.totalPageDisposalsUs,1688833480279000000,1688833540270000000,10001
FilePageCache.maxRegisteredFiles,1688833480279000000,1688833540270000000,708
DirectByteBufferAllocator.hits,1688833480279000000,1688833540270000000,0
FilePageCache.totalPageLoadsUs,1688833480279000000,1688833540270000000,6889747
StorageLockContext.competingThreads.90P,1688833480279000000,1688833540270000000,0
FilePageCache.pageHits,1688833480279000000,1688833540270000000,12568
DirectByteBufferAllocator.misses,1688833480279000000,1688833540270000000,841
FilePageCache.disposedBuffers,1688833480279000000,1688833540270000000,0
StorageLockContext.competingThreads.max,1688833480279000000,1688833540270000000,2
StorageLockContext.competingThreads.avg,1688833480279000000,1688833540270000000,0.05172413793103448
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1688833480279000000,1688833540270000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1688833480279000000,1688833540270000000,0
FilePageCache.pageLoads,1688833480279000000,1688833540270000000,841
DirectByteBufferAllocator.disposed,1688833480279000000,1688833540270000000,0
FilePageCache.pageFastCacheHits,1688833480279000000,1688833540270000000,1179030
FilePageCache.uncachedFileAccess,1688833480279000000,1688833540270000000,48
FilePageCache.capacityInBytes,1688833480279000000,1688833540270000000,524288000
DirectByteBufferAllocator.reclaimed,1688833480279000000,1688833540270000000,0
FilePageCache.maxCacheSizeInBytes,1688833480279000000,1688833540270000000,325713920
FileNameCache.queries,1688833480279000000,1688833540270000000,2155327
FileNameCache.fastMisses,1688833480279000000,1688833540270000000,100024
FileNameCache.totalMisses,1688833480279000000,1688833540270000000,53982
FlushQueue.queueSizeAvg,1688833480279000000,1688833540270000000,6.839455782312926
NonBlockingReadAction.finalizedExecutionTimeUs,1688833480279000000,1688833540270000000,3735294
NonBlockingReadAction.failedExecutionsCount,1688833480279000000,1688833540270000000,0
AWTEventQueue.eventsDispatched,1688833480279000000,1688833540270000000,3981
FlushQueue.queueSize90P,1688833480279000000,1688833540270000000,25
FlushQueue.executionTime90PNs,1688833480279000000,1688833540270000000,823295
FlushQueue.waitingTime90PNs,1688833480279000000,1688833540270000000,398458879
FlushQueue.queueSizeMax,1688833480279000000,1688833540270000000,77
FlushQueue.tasksExecuted,1688833480279000000,1688833540270000000,2205
FlushQueue.waitingTimeMaxNs,1688833480279000000,1688833540270000000,17314086911
AWTEventQueue.dispatchTimeAvgNs,1688833480279000000,1688833540270000000,8490395.844260236
NonBlockingReadAction.finalizedExecutionsCount,1688833480279000000,1688833540270000000,267
FlushQueue.executionTimeAvgNs,1688833480279000000,1688833540270000000,9322380.059863945
